inventory_id,check_date,store_name,product_name,category,brand,stock_quantity
1,2025-11-24,Store_20,Universal homogeneous collaboration,Clothing,"Snyder, Campos and Callahan",373
2,2025-11-25,Store_13,Monitored dedicated installation,Home,Cole LLC,350
3,2025-11-26,Store_4,Organized bi-directional benchmark,Sports,Williams and Sons,885
4,2025-11-30,Store_1,Pre-emptive bottom-line synergy,Beauty,Baker and Sons,363
5,2025-11-29,Store_15,Devolved 6thgeneration emulation,Home,"Reid, Ferguson and Sanchez",119
6,2025-11-23,Store_12,Integrated high-level solution,Sports,"Walter, Edwards and Rios",805
7,2025-11-26,Store_19,Polarized system-worthy flexibility,Sports,James Group,47
8,2025-11-27,Store_9,Decentralized responsive intranet,Sports,James Group,989
9,2025-11-30,Store_4,Mandatory homogeneous hardware,Home,Johnson and Sons,363
10,2025-11-30,Store_15,Secured uniform conglomeration,Electronics,Cole LLC,992
11,2025-11-28,Store_1,Expanded 24hour application,Electronics,Arnold Ltd,377
12,2025-11-27,Store_9,De-engineered contextually-based frame,Beauty,Blair PLC,36
13,2025-11-28,Store_15,Enhanced clear-thinking emulation,Home,Cole LLC,379
14,2025-11-29,Store_7,Organized background initiative,Sports,Abbott-Munoz,972
15,2025-11-27,Store_18,Networked fault-tolerant emulation,Home,Arnold Ltd,344
16,2025-11-28,Store_16,Extended stable superstructure,Sports,"Hoffman, Baker and Richards",962
17,2025-11-29,Store_7,Ergonomic user-facing website,Clothing,"Hoffman, Baker and Richards",346
18,2025-11-27,Store_6,Team-oriented heuristic artificial intelligence,Electronics,Morales-Jones,926
19,2025-11-28,Store_1,Right-sized regional process improvement,Beauty,"Snyder, Campos and Callahan",349
20,2025-11-26,Store_1,Organized responsive synergy,Sports,Blake and Sons,481
21,2025-11-30,Store_5,Diverse asymmetric architecture,Beauty,"Watts, Robinson and Nguyen",723
22,2025-11-25,Store_16,Cloned foreground challenge,Sports,"Reid, Ferguson and Sanchez",334
23,2025-11-30,Store_2,Seamless cohesive intranet,Beauty,"Reid, Ferguson and Sanchez",279
24,2025-11-25,Store_14,Versatile 24/7 utilization,Sports,"Yang, Gardner and Garza",240
25,2025-11-29,Store_14,Seamless systemic paradigm,Beauty,"Adams, Zuniga and Wong",31
26,2025-11-25,Store_15,Extended uniform approach,Sports,Perez Inc,896
27,2025-11-27,Store_9,Operative methodical interface,Beauty,Blake and Sons,656
28,2025-11-27,Store_7,Self-enabling eco-centric capacity,Home,Johnson and Sons,57
29,2025-11-30,Store_20,Business-focused scalable structure,Sports,Baker and Sons,105
30,2025-11-29,Store_12,Total zero tolerance budgetary management,Clothing,James Group,507
31,2025-11-30,Store_17,Upgradable zero administration array,Home,Cole LLC,284
32,2025-11-30,Store_4,Proactive well-modulated solution,Sports,Blair PLC,577
33,2025-11-24,Store_19,Fully-configurable asynchronous analyzer,Electronics,"Mcclure, Ward and Lee",197
34,2025-11-29,Store_19,Compatible 6thgeneration pricing structure,Home,"Yang, Gardner and Garza",875
35,2025-11-30,Store_6,Customizable 4thgeneration software,Home,Gray-Mayo,180
36,2025-11-28,Store_2,Visionary empowering infrastructure,Electronics,"Mcclure, Ward and Lee",620
37,2025-11-24,Store_12,Automated actuating groupware,Sports,Gray-Mayo,487
38,2025-11-23,Store_16,Enterprise-wide secondary analyzer,Beauty,"Flowers, Martin and Kelly",145
39,2025-11-26,Store_2,Integrated optimal Graphical User Interface,Sports,Perez Inc,47
40,2025-11-23,Store_17,Networked intangible monitoring,Electronics,"Henderson, Ramirez and Lewis",220
41,2025-11-27,Store_19,Open-architected tertiary hardware,Electronics,Cole LLC,213
42,2025-11-30,Store_10,Cross-group 3rdgeneration customer loyalty,Clothing,Blake and Sons,851
43,2025-11-29,Store_19,Reactive radical help-desk,Clothing,Wilkerson-Day,798
44,2025-11-27,Store_20,Expanded methodical software,Home,"Gonzalez, Santos and Gardner",565
45,2025-11-23,Store_3,Sharable contextually-based challenge,Sports,Perez Inc,591
46,2025-11-28,Store_20,Persevering zero administration strategy,Beauty,"Gonzalez, Santos and Gardner",120
47,2025-11-25,Store_19,Vision-oriented multi-tasking emulation,Home,Williams and Sons,922
48,2025-11-27,Store_2,Re-engineered contextually-based support,Clothing,Wagner Inc,109
49,2025-11-25,Store_18,Right-sized 24/7 concept,Sports,Gray-Mayo,927
50,2025-11-24,Store_9,Mandatory didactic contingency,Sports,Burton Ltd,365
51,2025-11-28,Store_4,Integrated encompassing moderator,Electronics,"Watts, Robinson and Nguyen",148
52,2025-11-23,Store_7,Quality-focused needs-based adapter,Clothing,"Reid, Ferguson and Sanchez",833
53,2025-11-23,Store_12,Pre-emptive zero administration installation,Beauty,"Mcclure, Ward and Lee",442
54,2025-11-29,Store_19,Right-sized uniform strategy,Home,Cole LLC,222
55,2025-11-27,Store_7,Optional heuristic Local Area Network,Beauty,Perez Inc,212
56,2025-11-30,Store_12,Phased impactful functionalities,Home,"Snyder, Campos and Callahan",162
57,2025-11-27,Store_13,Integrated didactic orchestration,Clothing,James Group,736
58,2025-11-30,Store_8,Multi-channeled radical concept,Home,"Watts, Robinson and Nguyen",563
59,2025-11-28,Store_2,Reactive non-volatile attitude,Clothing,"Yang, Gardner and Garza",835
60,2025-11-25,Store_15,Function-based interactive encoding,Sports,Baker and Sons,139
61,2025-11-24,Store_15,Virtual asynchronous concept,Beauty,"Henderson, Ramirez and Lewis",833
62,2025-11-24,Store_13,Streamlined zero administration frame,Clothing,Arnold Ltd,47
63,2025-11-28,Store_12,Mandatory systemic encoding,Clothing,Blake and Sons,434
64,2025-11-30,Store_20,Fundamental logistical firmware,Beauty,Cole LLC,284
65,2025-11-27,Store_17,Reduced tertiary software,Clothing,Morales-Jones,477
66,2025-11-25,Store_13,Cloned asynchronous initiative,Beauty,Morales-Jones,472
67,2025-11-30,Store_19,Automated upward-trending migration,Clothing,"Walter, Edwards and Rios",522
68,2025-11-27,Store_20,Fundamental systematic workforce,Electronics,Baker and Sons,175
69,2025-11-29,Store_15,Persistent needs-based software,Clothing,"Flowers, Martin and Kelly",499
70,2025-11-30,Store_9,Decentralized next generation complexity,Sports,Baker and Sons,551
71,2025-11-29,Store_20,Digitized cohesive data-warehouse,Electronics,Johnson and Sons,301
72,2025-11-23,Store_15,Stand-alone transitional flexibility,Sports,Morales-Jones,892
73,2025-11-25,Store_20,Synergistic encompassing productivity,Sports,"Ross, Robinson and Bright",635
74,2025-11-29,Store_11,Re-engineered explicit focus group,Clothing,"Hoffman, Baker and Richards",767
75,2025-11-27,Store_4,Persevering zero tolerance website,Home,James Group,225
76,2025-11-24,Store_17,Synchronized exuding monitoring,Electronics,Cole LLC,18
77,2025-11-27,Store_1,Innovative multi-tasking help-desk,Home,Wagner Inc,721
78,2025-11-23,Store_15,Synchronized hybrid time-frame,Electronics,"Reid, Ferguson and Sanchez",70
79,2025-11-25,Store_20,Secured user-facing function,Home,Garcia-James,805
80,2025-11-26,Store_15,Innovative full-range artificial intelligence,Electronics,Burton Ltd,184
81,2025-11-29,Store_12,Total empowering conglomeration,Sports,"Flowers, Martin and Kelly",945
82,2025-11-24,Store_10,Decentralized responsive hub,Beauty,"Mcclure, Ward and Lee",227
83,2025-11-28,Store_11,Persistent client-driven process improvement,Electronics,Wagner Inc,596
84,2025-11-26,Store_12,User-friendly optimizing array,Clothing,"Snyder, Campos and Callahan",64
85,2025-11-24,Store_1,Function-based clear-thinking implementation,Electronics,"Walter, Edwards and Rios",331
